"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"보안등0038",1,,서울특별시 용산구 남영동 19-59,37.55182400,126.97528500,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0039",1,,서울특별시 용산구 남영동 19-25,37.55209900,126.97509900,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0040",1,,서울특별시 용산구 남영동 7-29,37.55241000,126.97509100,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0041",1,,서울특별시 용산구 남영동 3-17,37.55238300,126.97565100,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0042",1,,서울특별시 용산구 남영동 3-15,37.55230900,126.97554700,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0043",1,,서울특별시 용산구 남영동 2-9,37.55259300,126.97612200,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0044",1,,서울특별시 용산구 남영동 19-80,37.55172800,126.97483200,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0045",1,,서울특별시 용산구 남영동 19-84,37.55162400,126.97504700,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0046",1,,서울특별시 용산구 남영동 35-41,37.55144700,126.97481100,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0047",1,,서울특별시 용산구 남영동 19-15,37.55113800,126.97482200,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0048",1,,서울특별시 용산구 남영동 19-8,37.55098900,126.97489000,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0049",1,,서울특별시 용산구 남영동 19-42,37.55075900,126.97485100,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0050",1,,서울특별시 용산구 남영동 19-2,37.55071800,126.97519900,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0051",1,,서울특별시 용산구 남영동19-43,37.55067100,126.97490300,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0052",1,,서울특별시 용산구 남영동 19-55,37.55034800,126.97558700,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0053",1,,서울특별시 용산구 남영동 19-110,37.55027500,126.97565500,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0054",1,,서울특별시 용산구 남영동 19-110,37.55036200,126.97534100,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0055",1,,서울특별시 용산구 남영동 19-39,37.55044500,126.97515200,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0056",1,,서울특별시 용산구 남영동 19-118,37.55049000,126.97488200,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0057",1,,서울특별시 용산구 남영동 19-28,37.55048900,126.97452000,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0058",1,,서울특별시 용산구 남영동 19-45,37.55061700,126.97456000,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0059",1,,서울특별시 용산구 남영동 35-26,37.55113100,126.97450000,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0060",1,,서울특별시 용산구 남영동 35-14,37.55114500,126.97425200,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0061",1,,서울특별시 용산구 남영동 35-140,37.55133400,126.97421200,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0062",1,,서울특별시 용산구 남영동 35-131,37.55133200,126.97449300,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0063",1,,서울특별시 용산구 남영동 35-126,37.55146600,126.97454800,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0064",1,,서울특별시 용산구 남영동 35-128,37.55147000,126.97435600,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0065",1,,서울특별시 용산구 남영동 19-128,37.55147000,126.97420900,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0066",1,,서울특별시 용산구 남영동 35-77,37.55160700,126.97422000,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0067",1,,서울특별시 용산구 남영동 35-122,37.55158700,126.97452500,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0068",1,,서울특별시 용산구 남영동 19-87,37.55174300,126.97464000,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0069",1,,서울특별시 용산구 남영동 35-47,37.55174900,126.97439200,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0070",1,,서울특별시 용산구 남영동 35-72,37.55184800,126.97405300,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0071",1,,서울특별시 용산구 남영동 35-66,37.55190400,126.97431000,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0072",1,,서울특별시 용산구 남영동 35-143,37.55203500,126.97426200,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0073",1,,서울특별시 용산구 남영동 19-40,37.55066500,126.97515200,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0074",1,,서울특별시 용산구 남영동 7-13,37.55247300,126.97484300,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0075",1,,서울특별시 용산구 남영동 9-2,37.55294100,126.97494100,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0076",1,,서울특별시 용산구 남영동 38-3,37.55028000,126.97310100,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0077",1,,서울특별시 용산구 남영동 30-22,37.54999300,126.97293500,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0078",1,,서울특별시 용산구 남영동 30-23,37.54997600,126.97311900,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"교회",1,,서울특별시 용산구 남영동 24-1,37.54432100,126.97365500,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0079",1,,서울특별시 용산구 남영동 24-11,37.55016300,126.97371300,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0080",1,,서울특별시 용산구 남영동 24-11,37.55003600,126.97389900,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0081",1,,서울특별시 용산구 남영동 24-3,37.55002600,126.97373900,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"동자노인정",1,,서울특별시 용산구 남영동 24-49,37.55011200,126.97406900,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0082",1,,서울특별시 용산구 남영동 22-19,37.55020800,126.97393700,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0083",1,,서울특별시 용산구 남영동 22-21,37.55018200,126.97382100,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0084",1,,서울특별시 용산구 남영동 22-20,37.55012000,126.97376800,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0085",1,,서울특별시 용산구 남영동 24-37,37.55029600,126.97395300,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0086",1,,서울특별시 용산구 남영동 23-30,37.55030400,126.97411100,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0087",1,,서울특별시 용산구 남영동 23-16,37.55024700,126.97412800,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0088",1,,서울특별시 용산구 남영동 23-35,37.55039300,126.97442100,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0089",1,,서울특별시 용산구 남영동 23-29,37.55036400,126.97440400,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0090",1,,서울특별시 용산구 남영동 23-27,37.55022500,126.97445600,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0091",1,,서울특별시 용산구 남영동 23-1,37.55029700,126.97471900,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0092",1,,서울특별시 용산구 남영동 23-14,37.55009500,126.97453600,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0093",1,,서울특별시 용산구 남영동 23-15,37.54995600,126.97436800,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0094",1,,서울특별시 용산구 남영동 22-55,37.54988800,126.97424600,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0095",1,,서울특별시 용산구 남영동 22-7,37.54981200,126.97431100,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0096",1,,서울특별시 용산구 남영동 22-22,37.54957600,126.97419000,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0097",1,,서울특별시 용산구 남영동 22-63,37.54957200,126.97436800,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0098",1,,서울특별시 용산구 남영동 22-60,37.54955100,126.97448100,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0099",1,,서울특별시 용산구 남영동 21-18,37.54966400,126.97461400,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0100",1,,서울특별시 용산구 남영동 21-6,37.54971800,126.97482800,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0101",1,,서울특별시 용산구 남영동 21-6,37.54986400,126.97488100,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0102",1,,서울특별시 용산구 남영동 21-21,37.54998800,126.97470900,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0103",1,,서울특별시 용산구 남영동 21-8,37.55021900,126.97490100,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0104",1,,서울특별시 용산구 남영동 22-2,37.55034500,126.97501600,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0105",1,,서울특별시 용산구 남영동 22-35,37.54926500,126.97423100,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0106",1,,서울특별시 용산구 남영동 22-72,37.54893600,126.97415300,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0107",1,,서울특별시 용산구 남영동 22-37,37.54906900,126.97401000,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0108",1,,서울특별시 용산구 남영동 22-42,37.54910900,126.97382900,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0109",1,,서울특별시 용산구 남영동 22-53,37.54942000,126.97418600,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0110",1,,서울특별시 용산구 남영동 22-70,37.54942300,126.97391000,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0111",1,,서울특별시 용산구 남영동 22-28,37.54949700,126.97375700,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0112",1,,서울특별시 용산구 남영동 22-32,37.54957300,126.97338100,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0113",1,,서울특별시 용산구 남영동 22-20,37.54982300,126.97357900,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0114",1,,서울특별시 용산구 남영동 22-19,37.54975500,126.97390600,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0115",1,,서울특별시 용산구 남영동 24-2,37.54985500,126.97396400,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0116",1,,서울특별시 용산구 남영동 30-14,37.54967700,126.97317000,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0117",1,,서울특별시 용산구 남영동 24-32,37.55033900,126.97506100,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"치안센터",1,,서울특별시 용산구 남영동 38-8,37.55014200,126.97295200,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0118",1,,서울특별시 용산구 남영동 22-9,37.54940300,126.97431800,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"앞",1,,서울특별시 용산구 남영동 24-18,37.55000700,126.97369300,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0119",1,,서울특별시 용산구 남영동 2-5,37.54985000,126.97253300,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0120",1,,서울특별시 용산구 남영동 1-6,37.54981800,126.97281600,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0121",1,,서울특별시 용산구 남영동 6-9,37.54939900,126.97328700,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0122",1,,서울특별시 용산구 남영동 6-11,37.54924000,126.97325000,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0123",1,,서울특별시 용산구 남영동 6-12,37.54919700,126.97342100,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0124",1,,서울특별시 용산구 남영동 6-15,37.54889700,126.97383900,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0125",1,,서울특별시 용산구 남영동 6-21,37.54886000,126.97354700,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0126",1,,서울특별시 용산구 남영동 5-25,37.54893600,126.97308800,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0127",1,,서울특별시 용산구 남영동 5-66,37.54905100,126.97311700,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0128",1,,서울특별시 용산구 남영동 5-23,37.54906400,126.97296500,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0129",1,,서울특별시 용산구 남영동 3-3,37.54928500,126.97216600,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0130",1,,서울특별시 용산구 남영동 5-17,37.54922400,126.97233300,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0131",1,,서울특별시 용산구 남영동 5-61,37.54920800,126.97266700,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"앞",1,,서울특별시 용산구 남영동 5-12,37.54909400,126.97260200,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0132",1,,서울특별시 용산구 남영동 5-29,37.54892400,126.97258800,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0133",1,,서울특별시 용산구 남영동 5-33,37.54877900,126.97263800,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0134",1,,서울특별시 용산구 남영동 5-31,37.54877900,126.97291900,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0135",1,,서울특별시 용산구 남영동 5-35,37.54864000,126.97258000,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0136",1,,서울특별시 용산구 남영동 5-35,37.54863600,126.97274400,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0137",1,,서울특별시 용산구 남영동 6-33,37.54866500,126.97305700,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0138",1,,서울특별시 용산구 남영동 6-34,37.54855900,126.97302000,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0139",1,,서울특별시 용산구 남영동 7-9,37.54840000,126.97301600,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0140",1,,서울특별시 용산구 남영동 7-47,37.54837400,126.97275500,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0141",1,,서울특별시 용산구 남영동 7-4,37.54839300,126.97317700,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0142",1,,서울특별시 용산구 남영동 7-5,37.54839700,126.97329300,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0143",1,,서울특별시 용산구 남영동 6-42,37.54861600,126.97341500,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0144",1,,서울특별시 용산구 남영동 7-5,37.54826100,126.97328200,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0145",1,,서울특별시 용산구 남영동 7-187,37.54823100,126.97343500,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0146",1,,서울특별시 용산구 남영동 7-45,37.54819900,126.97297600,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0147",1,,서울특별시 용산구 남영동 7-190,37.54823400,126.97267000,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0148",1,,서울특별시 용산구 남영동 8-59,37.54823700,126.97245200,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0149",1,,서울특별시 용산구 남영동 14-68,37.54817600,126.97214500,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0150",1,,서울특별시 용산구 남영동 8-25,37.54806700,126.97215000,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0151",1,,서울특별시 용산구 남영동 8-71,37.54797100,126.97218700,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0152",1,,서울특별시 용산구 남영동 8-51,37.54795100,126.97231200,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0153",1,,서울특별시 용산구 남영동 7-53,37.54788600,126.97247600,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0154",1,,서울특별시 용산구 남영동 7-54,37.54767600,126.97250100,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"맞은편",1,,서울특별시 용산구 남영동 8-20,37.54765800,126.97221800,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0155",1,,서울특별시 용산구 남영동 8-30,37.54761300,126.97216200,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0156",1,,서울특별시 용산구 남영동 7-54,37.54764900,126.97263700,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0157",1,,서울특별시 용산구 남영동 7-54,37.54763800,126.97274500,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0158",1,,서울특별시 용산구 남영동 7-54,37.54773900,126.97272800,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0159",1,,서울특별시 용산구 남영동 7-43,37.54791100,126.97272200,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0160",1,,서울특별시 용산구 남영동 7-44,37.54808200,126.97270500,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0161",1,,서울특별시 용산구 남영동 7-38,37.54755000,126.97301100,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"용산교회",1,,서울특별시 용산구 남영동 7-109,37.54768900,126.97310100,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0162",1,,서울특별시 용산구 남영동 7-12,37.54762400,126.97321800,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0163",1,,서울특별시 용산구 남영동 7-90,37.54777500,126.97304400,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0164",1,,서울특별시 용산구 남영동 7-7,37.54799000,126.97301600,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0165",1,,서울특별시 용산구 남영동 7-105,37.54753000,126.97337500,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0166",1,,서울특별시 용산구 남영동 7-118,37.54739700,126.97353700,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0167",1,,서울특별시 용산구 남영동 7-15,37.54737200,126.97378900,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0168",1,,서울특별시 용산구 남영동 7-103,37.54743300,126.97393300,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0169",1,,서울특별시 용산구 남영동 7-132,37.54733400,126.97397200,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0170",1,,서울특별시 용산구 남영동 7-181,37.54728500,126.97419900,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0171",1,,서울특별시 용산구 남영동 7-19,37.54740500,126.97430200,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0172",1,,서울특별시 용산구 남영동 7-127,37.54748300,126.97412000,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0173",1,,서울특별시 용산구 남영동 7-143,37.54714200,126.97430800,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0174",1,,서울특별시 용산구 남영동 7-25,37.54701000,126.97430600,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0175",1,,서울특별시 용산구 남영동 7-28,37.54709800,126.97401700,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0176",1,,서울특별시 용산구 남영동 7-32,37.54711800,126.97347500,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"옆",1,,서울특별시 용산구 남영동 7-37,37.54730700,126.97315800,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0177",1,,서울특별시 용산구 남영동 7-36,37.54740100,126.97327600,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0178",1,,서울특별시 용산구 남영동 7-133,37.54684800,126.97467400,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
